"Identificador de URL";Nombre;Categorías;"Nombre de propiedad 1";"Valor de propiedad 1";"Nombre de propiedad 2";"Valor de propiedad 2";"Nombre de propiedad 3";"Valor de propiedad 3";Precio;"Precio promocional";"Peso (kg)";"Alto (cm)";"Ancho (cm)";"Profundidad (cm)";Stock;SKU;"Código de barras";"Mostrar en tienda";"Envío sin cargo";Descripción;Tags;"Título para SEO";"Descripción para SEO";Marca;"Producto Físico";"MPN (Número de pieza del fabricante)";Sexo;"Rango de edad";Costo
pack-x-3-tangas-less-encaje;"Pack x 3 Tangas less encaje";"Bombachas > Pack";;;;;;;15,000.00;;0.12;5.00;15.00;12.00;5;;;SI;NO;"<p>Disfrut&aacute; de la comodidad y estilo con nuestro <strong>Pack por 3 Tangas less encaje</strong>. Cada tanguita cuenta con tiras de 1 cm que aseguran un ajuste perfecto y un refuerzo interno de el&aacute;stico para mayor durabilidad.</p>
<p>Este pack incluye colores variados: blanco, negro, rosa, rojo y avellana, seleccionados seg&uacute;n disponibilidad. Ideales para quienes buscan calidad y dise&ntilde;o en su ropa interior . Mandanos un mensajito para ver&nbsp; disponibilidad de los colores que prefieras.</p>";;;;;SI;;;;
print;Print;Conjuntos;Talle;85;;;;;18,000.00;;0.12;0.00;0.00;0.00;1;;;SI;NO;"<p>Conjunto en tul elastizado con dise&ntilde;o print</p>";;;;;SI;;;;
print;;;Talle;90;;;;;18,000.00;;0.12;0.00;0.00;0.00;0;;;;;;;;;;;;;;
print;;;Talle;95;;;;;18,000.00;;0.12;0.00;0.00;0.00;0;;;;;;;;;;;;;;
print;;;Talle;100;;;;;18,000.00;;0.12;0.00;0.00;0.00;1;;;;;;;;;;;;;;
amore;AMORE;Bombachas;Color;Negro;;;;;9,500.00;;0.00;0.00;0.00;0.00;5;;;SI;NO;"<p>Tanga hilo dental con delantero cubierto en puntilla,tiras totalmente regulables que se adaptan hasta un XL</p>
<p>Colores Blanco, Negro, Rojo, Rosa,Nude, Fucsia, Rosa bebe</p>
<h1><span style=""color: #e03e2d;"">&nbsp;<span style=""color: #000000;"">Demora de 2 a 5 d&iacute;as h&aacute;biles por con</span></span><span style=""color: #e03e2d;""><span style=""color: #000000;"">f</span></span><span style=""color: #e03e2d;""><span style=""color: #000000;"">ecci&oacute;n</span></span></h1>";"bombacha sexy, bombi, erotico, hilo dental, lenceria en cordoba, lenceria erotica, lingerie, tanga, tanga erotica, tanga less, tanga sexy";;;;NO;;;;
amore;;;Color;Blanco;;;;;9,500.00;;0.00;0.00;0.00;0.00;5;;;;;;;;;;;;;;
amore;;;Color;Rojo;;;;;9,500.00;;0.00;0.00;0.00;0.00;5;;;;;;;;;;;;;;
amore;;;Color;Rosa;;;;;9,500.00;;0.00;0.00;0.00;0.00;5;;;;;;;;;;;;;;
amore;;;Color;Fucsia;;;;;9,500.00;;0.00;0.00;0.00;0.00;5;;;;;;;;;;;;;;
amore;;;Color;Avellana;;;;;9,500.00;;0.00;0.00;0.00;0.00;5;;;;;;;;;;;;;;
jess;Jess;Bombachas;Color;Negro;;;;;9,500.00;;0.00;0.00;0.00;0.00;5;;;SI;NO;"<p>Bombi Abierta .Tanga con delantero con puntilla y parte trasera abierta.Todas las tiras son regulables de manera que se adapta a distintos talles desde el S hasta un Xl (desde un 36 hasta un 46)</p>
<p>Colores Blanco, Negro, Rojo, Fucsia, Rosa bebe y Nude</p>
<p>&nbsp;</p>
<h1><span style=""color: #e03e2d;""><span style=""color: #000000;"">Demora de 2 a 5 d&iacute;as h&aacute;biles por con</span></span><span style=""color: #e03e2d;""><span style=""color: #000000;"">f</span></span><span style=""color: #e03e2d;""><span style=""color: #000000;"">ecci&oacute;n</span></span></h1>
<p>&nbsp;</p>
<p>&nbsp;</p>
<p>&nbsp;</p>";"bombacha, bombacha erotica, Bombacha sexy, lenceria erotica, sexy, tanga, tanga erotica, tanga sexy";;;;NO;;;;
jess;;;Color;Blanco;;;;;9,500.00;;0.00;0.00;0.00;0.00;5;;;;;;;;;;;;;;
jess;;;Color;Rojo;;;;;9,500.00;;0.00;0.00;0.00;0.00;5;;;;;;;;;;;;;;
jess;;;Color;Rosa;;;;;9,500.00;;0.00;0.00;0.00;0.00;5;;;;;;;;;;;;;;
jess;;;Color;Fucsia;;;;;9,500.00;;0.00;0.00;0.00;0.00;5;;;;;;;;;;;;;;
jess;;;Color;Avellana;;;;;9,500.00;;0.00;0.00;0.00;0.00;5;;;;;;;;;;;;;;
gift-card;"GIFT CARD";"Gift Cards";;;;;;;2,800.00;;0.00;0.00;0.00;0.00;1;GIFTY;;NO;NO;"Al comprar esta GiftCard, recibirás un código único en tu email para enviar y compartir con la persona que quieras";;;;;NO;;;;
scrunchies;Scrunchies;;Color;Negro;;;;;1,000.00;;0.05;0.00;0.00;0.00;0;;;SI;NO;"<p>Srunchie de tela suave, diferentes tama&ntilde;os</p>
";;;;;SI;;;;
scrunchies;;;Color;Gris;;;;;1,000.00;;0.05;0.00;0.00;0.00;0;;;;;;;;;;;;;;
scrunchies;;;Color;Beige;;;;;1,000.00;;0.05;0.00;0.00;0.00;0;;;;;;;;;;;;;;
scrunchies;;;Color;Blanco;;;;;1,000.00;;0.05;0.00;0.00;0.00;0;;;;;;;;;;;;;;
bombi-maly;"Bombi Maly";Bombachas;Color;Negro;;;;;10,500.00;;0.05;3.00;10.00;5.00;5;;;SI;NO;"<p>Tanga less en suave encaje elastizado&nbsp;&nbsp;(tiras en la cadera y en la cintura ) con adorno de argollitas, breteles anchos de 1 cm todas las tiras son&nbsp; regulables</p>
<h1><span style=""color: #e03e2d;""><span style=""color: #000000;"">Demora de 2 a 5 d&iacute;as h&aacute;biles por con</span></span><span style=""color: #e03e2d;""><span style=""color: #000000;"">f</span></span><span style=""color: #e03e2d;""><span style=""color: #000000;"">ecci&oacute;n</span></span></h1>";;;;;SI;;;;
bombi-maly;;;Color;Blanco;;;;;10,500.00;;0.05;3.00;10.00;5.00;5;;;;;;;;;;;;;;
bombi-maly;;;Color;Rojo;;;;;10,500.00;;0.05;3.00;10.00;5.00;5;;;;;;;;;;;;;;
bombi-maly;;;Color;Rosa;;;;;10,500.00;;0.05;3.00;10.00;5.00;5;;;;;;;;;;;;;;
bombi-maly;;;Color;Avellana;;;;;10,500.00;;0.05;3.00;10.00;5.00;5;;;;;;;;;;;;;;
bombi-maly;;;Color;Fucsia;;;;;10,500.00;;0.05;3.00;10.00;5.00;5;;;;;;;;;;;;;;
